algorithm,propForRandomMove,numOfPlayers,branchingFactor,depth
maxN,0.01,2,11.833333333333334,24
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,6.12962962962963,270
maxN,0.01,2,18.272727272727273,22
maxN,0.01,2,14.38888888888889,18
maxN,0.01,2,17.789473684210527,19
maxN,0.01,3,18.625,40
maxN,0.01,3,19.225,40
maxN,0.01,3,19.225,40
maxN,0.01,3,15.17142857142857,35
maxN,0.01,3,19.225,40
maxN,0.01,3,19.225,40
maxN,0.01,3,19.225,40
maxN,0.01,3,17.46511627906977,43
maxN,0.01,3,19.225,40
maxN,0.01,3,19.225,40
maxN,0.01,4,14.05,40
maxN,0.01,4,15.384615384615385,39
maxN,0.01,4,14.05,40
maxN,0.01,4,14.05,40
maxN,0.01,4,14.947368421052632,38
maxN,0.01,4,14.594594594594595,37
maxN,0.01,4,14.05,40
maxN,0.01,4,14.05,40
maxN,0.01,4,14.05,40
maxN,0.01,4,12.857142857142858,49
maxN,0.1,2,14.38888888888889,18
maxN,0.1,2,13.526315789473685,19
maxN,0.1,2,13.5,12
maxN,0.1,2,14.38888888888889,18
maxN,0.1,2,15.954545454545455,22
maxN,0.1,2,11.058823529411764,17
maxN,0.1,2,17.44,25
maxN,0.1,2,14.38888888888889,18
maxN,0.1,2,16.53846153846154,26
maxN,0.1,2,13.842105263157896,19
maxN,0.1,3,11.9375,48
maxN,0.1,3,21.6,30
maxN,0.1,3,16.428571428571427,35
maxN,0.1,3,17.568181818181817,44
maxN,0.1,3,16.72972972972973,37
maxN,0.1,3,16.372549019607842,51
maxN,0.1,3,17.743589743589745,39
maxN,0.1,3,14.217391304347826,46
maxN,0.1,3,17.5,42
maxN,0.1,3,16.228571428571428,35
maxN,0.1,4,11.325581395348838,43
maxN,0.1,4,10.623529411764705,85
maxN,0.1,4,12.545454545454545,44
maxN,0.1,4,17.333333333333332,39
maxN,0.1,4,10.694915254237289,59
maxN,0.1,4,12.846153846153847,52
maxN,0.1,4,16.666666666666668,48
maxN,0.1,4,8.715596330275229,109
maxN,0.1,4,17.680851063829788,47
maxN,0.1,4,13.428571428571429,42
maxN,0.2,2,11.928571428571429,14
maxN,0.2,2,11.333333333333334,24
maxN,0.2,2,19.3125,16
maxN,0.2,2,13.679245283018869,53
maxN,0.2,2,9.46875,32
maxN,0.2,2,13.703703703703704,27
maxN,0.2,2,17.956521739130434,23
maxN,0.2,2,14.666666666666666,27
maxN,0.2,2,16.107142857142858,28
maxN,0.2,2,16.6,15
maxN,0.2,3,17.210526315789473,38
maxN,0.2,3,8.930232558139535,43
maxN,0.2,3,13.745454545454546,55
maxN,0.2,3,18.5,28
maxN,0.2,3,9.291666666666666,72
maxN,0.2,3,19.558139534883722,43
maxN,0.2,3,20.377777777777776,45
maxN,0.2,3,23.615384615384617,39
maxN,0.2,3,15.9,30
maxN,0.2,3,12.024096385542169,83
maxN,0.2,4,18.666666666666668,39
maxN,0.2,4,17.340425531914892,47
maxN,0.2,4,15.7,50
maxN,0.2,4,14.613636363636363,44
maxN,0.2,4,14.796610169491526,59
maxN,0.2,4,13.833333333333334,54
maxN,0.2,4,15.238095238095237,42
maxN,0.2,4,18.482142857142858,56
maxN,0.2,4,17.428571428571427,42
maxN,0.2,4,13.625,32
