depth1,depth2,depth3,depth4
2,5,45,462
2,7,73,642
2,11,119,1151
2,12,115,1065
1,10,138,977
2,10,85,849
2,10,186,1467
1,6,47,347
0,9,81,640
1,15,125,905
2,12,169,1341
0,13,100,635
2,12,149,726
0,10,86,686
1,6,42,353
4,3,30,207
0,3,20,127
1,2,23,133
1,4,26,235
0,2,23,162
1,3,24,186
0,4,25,250
2,1,15,94
0,1,7,68
0,1,4,23
0,1,3,12
1,1,3,12
0,0,1,2
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,4,45,374
1,6,52,395
1,6,68,506
1,10,111,1042
2,11,162,1574
1,9,95,961
5,5,64,541
1,6,65,724
1,11,117,1443
2,18,197,2319
3,33,391,4803
3,25,386,4497
1,33,322,4626
4,41,797,6899
1,29,323,4368
3,34,599,5408
1,21,150,2801
2,30,675,4729
2,19,164,2096
1,9,142,1077
0,8,59,946
2,8,128,908
0,10,67,1022
2,7,113,667
1,8,59,839
2,17,279,2541
4,20,184,2481
2,14,245,2082
1,14,128,1365
1,15,186,1467
1,11,107,1159
1,7,95,706
2,8,62,655
1,4,57,425
0,6,47,517
2,6,76,425
0,7,42,519
2,11,137,863
1,11,82,779
1,13,124,746
3,12,86,791
4,8,127,723
0,5,33,328
1,1,17,88
0,1,4,30
1,2,21,84
0,3,14,123
1,4,39,202
0,2,12,113
1,1,13,62
1,0,3,18
0,1,7,37
1,1,6,37
0,2,13,45
0,3,10,92
1,2,28,100
0,2,8,64
1,2,16,62
1,3,6,37
1,2,16,51
0,1,4,9
1,1,0,1
0,0,0,1
0,0,1,1
0,0,0,0
1,5,51,480
0,6,58,498
1,8,84,933
1,9,99,915
1,4,48,426
0,4,40,387
1,11,103,1090
3,13,187,1620
1,11,109,1381
1,10,156,1263
1,16,197,2832
1,8,90,947
8,11,139,1710
1,9,112,995
1,7,90,753
0,11,107,1465
1,8,72,755
0,6,57,438
1,9,78,727
0,12,110,890
1,7,79,600
0,5,40,334
0,3,32,287
1,3,26,210
0,3,27,166
0,7,44,306
1,7,43,207
0,4,34,147
0,2,8,72
0,1,15,69
1,2,8,56
0,2,12,45
0,0,0,0
0,0,1,0
0,0,0,1
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
0,0,1,1
0,0,0,0
1,5,49,481
0,8,66,797
1,9,138,1226
0,6,84,820
0,4,43,571
1,3,58,538
0,5,57,871
0,9,175,1972
1,11,146,2375
0,16,321,3188
2,8,117,1299
0,9,127,1515
1,15,243,2993
1,20,331,2262
1,17,233,2697
3,14,208,1684
0,18,180,2416
2,32,531,3865
1,31,359,6157
1,31,591,4408
1,37,432,7196
1,20,398,2918
0,14,118,1468
1,17,263,2176
0,18,194,2268
1,17,311,1927
1,12,130,1206
0,18,310,2516
1,19,192,2148
0,4,44,395
0,6,66,568
1,6,69,654
0,5,36,298
0,3,31,184
1,2,8,54
0,1,9,35
0,2,8,50
0,2,9,43
1,1,6,19
0,0,1,2
0,0,1,3
0,0,0,1
0,0,0,0
0,0,0,1
0,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,8,78,1450
0,5,95,1872
1,8,185,3264
0,13,233,4131
1,12,172,3505
1,8,192,3949
0,10,152,3012
1,12,227,5723
1,10,269,5495
1,20,400,8305
1,21,613,17613
1,20,320,6278
0,13,208,4702
1,4,75,1635
0,6,141,2254
1,15,343,7317
1,20,416,10925
0,3,99,1311
0,22,238,5546
1,9,290,8171
1,11,246,3514
1,19,149,4227
1,4,97,2226
0,7,153,1947
1,21,287,7541
1,11,237,6202
1,9,279,3709
0,19,160,3434
1,10,248,6966
0,7,173,2203
1,19,182,4340
1,7,169,3866
